id,title,published_at,description,salary_from,salary_to,salary_currency,experience_hh,area_id,skills_raw
120701623,Тестировщик,2025-05-19T12:34:27+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Проводить все виды все тестирования</p> </li> <li> <p>Тесно взаимодействовать с командой разработчиков, аналитиков, QA</p> </li> <li> <p> </p> <p>Анализировать документацию, составлять и поддерживать тестовые сценарии в актуальном виде, создавать ПМИ, писать отчеты о тестировании. Работать с БД, API, Web-приложениями, анализировать логи</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Понимание жизненного цикла ПО</li> <li>Опыт в сфере тестирования не менее 2 лет (Backend и Front)</li> <li>Опыт интеграционного тестирования программного обеспечения (интеграция между 2 и более системами)</li> <li>Знание процессов тестирования ПО, понимание различных подходов и методологий</li> <li>Навыки тест-дизайна (анализ граничных значений, эквивалентное разделение, причина-следствие)</li> <li>Знание SQL на продвинутом уровне, практический опыт тестирования баз данных</li> <li>Использование инструментов API тестирования (Postman, SoapUI, Fiddler)</li> <li>Практический опыт работы по Agile (SCRUM, Kanban)</li> <li>Техническое образование</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>Опыт работы с языками программирования (навык написания автотестов с использованием хотя бы одного языка: Java, C#, Objective C)</li> <li>Опыт нагрузочного тестирования</li> <li>Опыт тестирования Банковского ПО, знание Банковских продуктов</li> </ul> <p><strong>Процесс собеседования</strong></p> <ul> <li>Тестовое задание на разработку протокола тестирования;</li> <li>Интервью по видеосвязи с PM-ом и Тимлидом;</li> <li>Оффер.</li> </ul>",100000.0,180000.0,RUR,От 1 года до 3 лет,1,"Тестирование, Тестирование на проникновение, Нагрузочное тестирование, Регрессионное тестирование, Модульное тестирование, Функциональное тестирование, Ручное тестирование, Кроссплатформенное тестирование, Интеграционное тестирование, Системное тестирование, Сквозное тестирование, Кроссбраузерное тестирование, Бета-тестирование, Автоматизированное тестирование, Тестирование по тест-кейсам"
120697487,QA инженер,2025-05-19T11:54:03+0300,"<strong>Обязанности:</strong> <ul> <li>Ручное тестирование (функциональное, регрессионное, исследовательское, интеграционное);</li> <li>Тестирование мобильного приложения (frontend &amp; backend);</li> <li>Составление и ведение тестовой документации (TestIT, Confluence);</li> <li>Обнаружение, исследование и регистрация дефектов ПО, проверка исправлений;</li> <li>Разработка, поддержка, ревью тестовых сценариев и планов тестирования.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы на позиции инженера-тестировщика от 2-х лет;</li> <li>Опыт работы в Postman;</li> <li>Опыт тестирования REST API;</li> <li>Опыт работы в Figma, тестирование верстки;</li> <li>Опыт тестирования кроссплатформенных/нативных мобильных приложений (iOS, Android);</li> <li>Опыт работы со сниффером (подмена запроса/ответа, перенаправление траффика, подмена ответа сервера локальным файлом);</li> <li>Опыт работы с сервисами доставки билдов (например, TestFlight, App Center);</li> <li>Опыт работы с логами мобильных устройств .</li> </ul> <strong>Условия:</strong> <ul> <li> <p>Современный офис в БЦ Авион (2 мин. от ст. м. Аэропорт);</p> </li> <li>Гибридный формат работы и удобный график;</li> <li>Официальное трудоустройство в аккредитованное IT-подразделение;</li> <li>Комфортное погружение в работу и поддержку руководства;</li> <li>Стабильный доход и ежегодный бонус;</li> <li>Бонусы от компании: ДМС, скидки от партнеров, бесплатные рекламные туры, а также скидки на туры для Вас и Ваших близких;</li> <li>Веселые корпоративы несколько раз в год, тренировки по волейболу и бегу, клуб настольных игр;</li> <li>Профессиональное развитие, карьерный рост и амбициозные цели.</li> </ul>",,,,От 1 года до 3 лет,1,
120730521,Директор по персоналу (HRD),2025-05-19T21:28:21+0300,"<p><strong>Крупная торговая сеть приглашает к сотрудничеству HRD.</strong></p> <p><strong>Локация: Красноярск (компенсируемая релокация)<br />Масштаб: Управление HR-функцией для штата 10 000+ сотрудников, руководство командой 50+ HR-специалистов</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка и реализация HR-стратегии, в соответствии с бизнес-целями компании.</li> <li>Оптимизация HR-процессов: рекрутмент (включая массовый подбор), адаптация, система оценки и развития талантов.</li> <li>Развитие корпоративной культуры и employer branding для снижения текучки и повышения вовлеченности.</li> <li>Создание и развитие системы наставничества, внедрение кадрового резерва.</li> <li>Оптимизация ФОТ, материальной/нематериальной мотивации. </li> <li>Digital HR: автоматизация процессов, интеграция с бизнес-системами.</li> <li>Внедрение HR - аналитики и метрик (измерение, аналитика, работа с результатами). </li> <li>Контроль операционного HR, управление командой более 50 человек. </li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование (HR, пcихология, менеджмент).</li> <li>Опыт работы HRD в компаниях с продвинутыми HR практиками, численностью от 3000 человек, от 5 лет. </li> <li>Успешный опыт автоматизации HR процессов.</li> <li>Глубокая экспертиза в рекрутменте и адаптации, высокие показатели по укомплектованности кадров. </li> <li>Развитые компетенции в T&amp;D, C&amp;B и орг. развитии.</li> <li>Опыт внедрения HR метрик, проведения пульс - опросов, разработки программ по повышению лояльности, удовлетворенности и вовлеченности персонала. </li> <li>Масштабировании HR-практик в распределенных розничных сетях.</li> <li>Уверенные управленческие навыки, лидерство, высокий уровень EQ, ориентация на результат. </li> </ul> <strong>Условия:</strong> <ul> <li>Конкурентный пакет компенсаций (обсуждается индивидуально).</li> <li><strong>Локация: Красноярск</strong> (рассмотрим кандидатов, готовых к переезду)</li> <li>Релокационный пакет: компенсация переезда и аренды жилья.</li> <li>Возможность влиять на бизнес-результаты через управление человеческим капиталом.</li> </ul>",,,,Более 6 лет,1,
120727224,Семейный/персональный/личный водитель,2025-05-19T17:55:22+0300,"<p><strong>Обязанности:</strong></p> <ul> <li> <p>Своевременная подача автомобиля в назначенное место (проспект Вернадского, д. 92)</p> </li> <li> <p>Обеспечение комфортного, оперативного и безопасного передвижения первого лица компании и членов его семьи.</p> </li> <li> <p>Сопровождение руководителя и его семьи.</p> </li> <li> <p>Выполнение различных личных поручений руководителя.</p> </li> <li> <p>Контроль за техническим состоянием автомобиля, уход, содержание в чистоте и исправности.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Готовность к напряженному графику работы (6/1).</li> <li>Знание Москвы.</li> <li>Уравновешенность, стрессоустойчивость, грамотная речь, деловая этика.</li> <li>Опыт работы на автомобилях премиум класса.</li> </ul> <strong>Условия:</strong> <ul> <li>График работы ненормированный.</li> <li>Официальное трудоустройство по ТК.</li> <li>Питание за счет фирмы.</li> </ul>",150000.0,180000.0,RUR,От 3 до 6 лет,1,"Знание устройства автомобиля, Деловая этика, Исполнение личных поручений руководителя, Точность и внимательность к деталям"
120724157,Персональный водитель руководителя,2025-05-19T16:59:46+0300,"<strong>Обязанности:</strong> <ul> <li>подача автомобиля в строго назначенное место и время;</li> <li>содержание транспортного средства в чистоте и технически исправном состоянии;</li> <li>отчетность по расходам ( мойка, сервис и пр.);</li> <li>выполнение личных поручений руководителя;</li> </ul> <strong>Требования:</strong> <ul> <li>опыт работы персональным водителем не менее 5 лет;</li> <li>отличное знание Москвы без навигатора;</li> <li>уверенный стиль вождения в условиях города (знание оптимальных маршрутов, объездных путей во время пробок);</li> <li>бесконфликтность, ответственность, соблюдение субординации;</li> <li>презентабельный внешний вид, работа в костюме;</li> <li>опыт работы на автомобилях представительского класса обязательно.</li> </ul> <strong>Условия:</strong> <ul> <li>График 2/2/3, полный рабочий день</li> <li>Начало рабочего дня в ЦАО или Пирогово (Мытищи)</li> <li>Выплата ЗП один раз в месяц без задержек</li> </ul>",140000.0,,RUR,Более 6 лет,1,"Вождение автомобилей представительского класса, Экстремальное вождение, Знание устройства автомобиля, Бережное отношение к автомобилю, Хорошее знание города, Презентабельный внешний вид, Материальная ответственность"
120704186,Персональный водитель руководителя,2025-05-19T12:58:50+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Работа с руководителем женщиной;</li> <li>Своевременная подача автомобиля;</li> <li>Сопровождение руководителя и ее членов семьи;</li> <li>Поездки в аэропорт, встречи в аэропорту;</li> <li>Содержание и контроль обслуживания трех автомобилей в исправном состоянии, ТО, Страховки, мойка;</li> <li>Обеспечение комфортного сопровождения на автомобиле руководителя;</li> <li>Выполнение поручений руководителя по доставке документов и посылок, личных вещей, продуктов (рынок, магазины, химчистка и т.д.);</li> <li>Взаимодействие с ассистентом руководителя и горничными.</li> </ul> <p><br /><strong>Требования:</strong></p> <ul> <li>Опыт работы персональным водителем от 5-ти лет;</li> <li>Наличие рекомендаций от предыдущих работодателей;</li> <li>Опыт вождения автомобилей представительского класса;</li> <li>Знание Москвы, умение составлять оптимальный маршрут движения;</li> <li>Умение пользоваться мобильными приложениями;</li> <li>Спокойный и уверенный стиль вождения;</li> <li>Тактичность, соблюдение субординации;</li> <li>Опрятный внешний вид;</li> <li>Ответственный подход к работе;</li> <li>Соблюдение тайминга поездок, отсутствие опозданий на работу;</li> <li>Готовность к прохождению проверки СБ;</li> <li>Личные качества: ответственность, пунктуальность, аккуратность, стрессоустойчивость, коммуникабельность.</li> </ul> <p><br /><strong>Условия:</strong></p> <ul> <li>График работы: 5/2 и 6/1, в зависимости от присутствия руководителя в Москве. Начало рабочего дня 14.00;</li> <li>Район проживания руководителя Покровское - Стрешнево, предоставляется паркинг для хранения личного авто в течение рабочего дня.</li> </ul>",150000.0,,RUR,От 3 до 6 лет,1,"Знание устройства автомобиля, Персональный водитель"
120692406,Сотрудник в аэропорт с водительским удостоверением (срочно),2025-05-19T11:05:25+0300,"<p><em><strong>Международный аэропорт в поиске специалистов по обработке багажа из самолета. </strong></em></p> <ul> <li>Бесплатные автобусы от Клина, Дмитрова, Зеленограда, Москвы (м. «Речной вокзал»)</li> <li>Зарплата ОТ 120 тысяч рублей за месяц</li> <li>Оплачиваемые выходные</li> <li>Дополнительный выплаты в честь важных событий</li> <li>График комфортный 2/2, есть ночные смены</li> <li>Корпоративный отдых на курортах за счет компании</li> </ul> <p><strong><em>Задача</em></strong>:</p> <ol> <li>Погрузка/разгрузка багажа на спецтехнике</li> <li>Обслуживание самолета</li> </ol>",122000.0,148000.0,RUR,Нет опыта,1,
120729925,QA-инженер,2025-05-19T20:08:24+0300,"<p>Участие в разработке телемедицинской платформы для проведения предрейсовых осмотров удаленным способом.</p> <p><strong>Обязанности:</strong></p> <ul> <li>выполнение ручного функционального тестирования интерфейсов (frontend) и REST API (backend);</li> <li>проведение регрессионного тестирования, нагрузочных тестов;</li> <li>развертывание ПО на тестовых стендах для последующего тестирования;</li> <li>проверка релизов;</li> <li>составление тест-кейсов и тест-планов, поддержание их в актуальном состоянии;</li> <li>составление отчетов о найденных ошибках в баг-трекере.</li> </ul> <strong>Требования:</strong> <ul> <li>знание языков программирования Java или Python на уровне написания тестовых скриптов;</li> <li>знание Linux на уровне пользователя</li> <li>знание инструментов для тестирования HTTP API (Postman, Insomnia и др.);</li> <li>умение работать с Git;</li> </ul> <strong>Условия:</strong> <ul> <li>оформление по ТК РФ (“белая” заработная плата);</li> <li>работа в аккредитованной IT компании;</li> </ul>",150000.0,,RUR,От 1 года до 3 лет,1,"QA, Postman, Регрессионное тестирование, A/B тесты, Use case, Docker, Git"
120723209,Заместитель генерального директора по финансам,2025-05-19T16:48:01+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Финансовый менеджмент 3х компаний (в том числе 1 компания базируется в ОАЭ и имеет филиал в РФ);</li> <li>Руководство финансовой функцией (2 человека в подчинении);</li> <li>Бюджетирование, формирование прогноза исполнения бюджета (БДР, БДДС), анализ отклонений;</li> <li>Мониторинг затрат по договорам, контроль и анализ объективности, сопоставимости отражения данных в бухгалтерской и управленческой отчетности;</li> <li>Финансовая экспертиза согласовываемых сделок, договоров;</li> <li>Контроль эффективного использования ресурсов Общества, оптимизация затрат;</li> <li>Управление денежными потоками Обществ, своевременное привлечение необходимого финансирования, размещения ДС;</li> <li>Контроль процесса согласование заявок на расходование денежных средств, реестров на оплату (владелец процесса);</li> <li>Работа с банками по вопросам открытия счетов, валютного контроля, проведения трансграничных платежей;</li> <li>Контроль своевременной реализации, документооборота с Заказчиком</li> </ul> <strong>Требования:</strong> <div> <ul> <li><strong>Образование</strong>: Высшее экономическое образование (предпочтительно ведущие Университеты, РГУ нефти и газа им И.М.Губкина)</li> <li><strong>Дополнительная профессиональная подготовка</strong>: CIMA, сертификаты об окончании курсов excel – как преимущество</li> <li><strong>Опыт и стаж работы :</strong> от 5 лет (в строительстве / производстве - как преимущество)</li> <li><strong>Специальные навыки и знания: </strong></li> </ul> <ol> <li>Знание процесса бюджетирования (в строительстве/производстве преимущество);</li> <li>Знание бухгалтерского учета (счета бухгалтерского учета, бухгалтерские проводки, отчетность);</li> <li>Знание IFRS как большое преимущество;</li> <li>Знание законодательства в области валютного контроля.</li> </ol> <ul> <li><strong>Владение ПК (какие программы)</strong>:</li> </ul> <ol> <li>Excel – продвинутый пользователь (сложные формулы обязательно!!! Power query – как большое преимущество)</li> <li>1С предприятие – уверенный пользователь</li> </ol> <p><strong>Дополнительные требования: </strong></p> </div> <p>Английский язык – средне-продвинутый <strong>MUST</strong></p> <p><strong>Условия:</strong></p> <ul> <li>Оформления по ТК РФ</li> <li>ДМС + стоматология с первого рабочего дня</li> <li>График работы - 40 часов в неделю, сб., вск. - выходной</li> </ul>",,,,Более 6 лет,1,знание английского языка
120718155,Ручной тестировщик / Manual QA Engineer,2025-05-19T15:38:55+0300,"<p>Мы – компания<strong> OCS</strong>, крупнейший в РФ дистрибьютор высоких технологий, инженерных решений, компьютерной и бытовой техники. Высока вероятность, что вы ежедневно пользуетесь техникой, которую привезли в Россию мы :)</p> <p>Также, мы давно работаем и активно развиваемся во внутренней разработке различных IT-продуктов, у нас есть собственный департамент мобильной и веб-разработки, свой R&amp;D отдел. Сейчас мы расширяем команду тестирования и в поисках мануального тестировщика на тестирование коробочного решения для<strong> </strong>автоматизации процессов службы поддержки Naumen service desk.</p> <p>Инструменты: jira, confluence, easyMind, Xray</p> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>официальное оформление по ТК РФ, оплачиваемые отпуска и больничные, &quot;белая&quot; заработная плата;</li> <li>мы - аккредитованная IT-компания;</li> <li>возможность стать частью опытной команды, которая тестирует крупные инхауз-проекты;</li> <li>возможность работать из дома или в офисе, в зависимости от предпочтений. Возможна полная удаленка - рассматриваем кандидатов из любого уголка. Рабочее время с 10 до 18 с возможностью сдвигать его;</li> <li>выдаем всю необходимую технику для комфортной работы;</li> <li>хотим, чтобы наши коллеги развивались, с удовольствием делимся накопленными знаниями внутри компании;</li> <li>соц. пакет по принципу меню - возможность выбора одной или нескольких опций: компенсация хобби/спорта/билетов, ДМС. А еще - скидки на крутую технику :)</li> </ul> <p><strong>Что нужно будет делать:</strong></p> <ul> <li>проводить тестирование доработок функционала и бизнес-логики посредством взаимодействия с фронтендом;</li> <li>активно работать с тестовой документацией: пополнять, актуализировать, вести все виды ТД;</li> <li>применять на практике знания теории тестирования, тест-дизайна и тестового анализа при написании тестов и создании проверок;</li> <li>участвовать в командных процессах и мероприятиях, совершенствовать процессы тестирования в отделе;</li> <li>по возможности быть ментором для сотрудников внутри отдела, участвовать в процессе внутреннего обучения сотрудников.</li> </ul> <p><strong>Нам нужны люди, которые имеют:</strong></p> <ul> <li>знание и применение на практике основ, теории и принципов тестирования;</li> <li>знание и умение применять техники тест-дизайна и тестового анализа при тестировании продукта;</li> <li>практический опыт работы с любой TMS, с тестовой документацией, понимание ее видов и смысла использования артефактов ТД;</li> <li>умение самостоятельно разбираться с продуктом и имеющейся тестовой документацией, актуализировать свою и чужую тестовую документацию;</li> <li>навыки исследовательского тестирования, умение тестировать методом черного ящика;</li> <li><strong>будет плюсом</strong> опыт тестирования продуктов сервисного обслуживания / коробочных решений;</li> <li><strong>будет плюсом</strong> опыт нагрузочного тестирования с Locust или JMeter.</li> </ul> <p>Если вы обладаете похожим опытом и готовы взять на себя важную роль, мы будем рады видеть ваш отклик!</p>",,,,От 3 до 6 лет,2,"QA, Тестирование, Ручное тестирование"
